Timestamp,Open,High,Low,Close,Volume
2020-10-30,2432.74,2494.63,2425.51,2485.77,7003617
2020-11-06,2481.25,2538.94,2425.33,2525.51,18273284
2020-11-13,2547.57,2559.6,2458.86,2478.31,17833035
2020-11-20,2497.99,2513.9,2431.86,2481.48,13828076
2020-11-27,2509.23,2558.67,2485.91,2499.58,19893969
2020-12-04,2498.97,2587.49,2448.09,2544.26,12492630
2020-12-11,2532.55,2649.15,2524.3,2596.54,14855730
2020-12-18,2613.7,2703.25,2569.86,2668.74,17532667
2020-12-24,2668.74,2725.03,2597.85,2713.84,10918810
2021-01-01,2714.45,2753.62,2653.82,2731.47,14433439
2021-01-08,2751.76,2917.8,2743.32,2911.17,25984337
2021-01-15,3012.94,3053.99,2910.71,3016.07,29755080
2021-01-22,3031.6,3104.31,2973.21,3081.13,17604090
2021-01-29,3086.59,3115.36,2891.68,2902.27,14568127
2021-02-05,2891.68,3020.27,2839.54,2945.73,14790895
2021-02-12,2975.16,3027.68,2943.12,2976.38,12067553
2021-02-19,2993.35,2993.35,2813.46,2865.42,18932236
2021-02-26,2887.95,2887.95,2686.46,2699.8,24390335
2021-03-05,2729.37,2874.38,2706.8,2805.91,18441946
2021-03-12,2813.32,2907.54,2791.03,2852.45,10653536
2021-03-19,2836.64,2942.98,2786.32,2845.23,22795049
2021-03-26,2843.83,2956.04,2815.8,2860.71,16307764
2021-04-01,2875.82,2998.95,2855.21,2952.31,13410601
2021-04-09,2957.91,3128.94,2939.25,3098.99,16713059
2021-04-16,3098.99,3113.78,2866.54,2980.43,23299579
2021-04-23,2956.04,3008.61,2883.33,2900.54,10104298
2021-04-30,2893.59,2945.18,2817.06,2831.65,11036037
2021-05-07,2821.63,2947.51,2802.13,2922.37,9841455
2021-05-14,2934.54,2951.56,2835.71,2846.44,9193045
2021-05-21,2849.7,2914.07,2831.98,2873.49,11781341
2021-05-28,2874.42,3016.6,2865.56,2947.08,14026233
2021-06-04,2953.08,2972.16,2920.27,2947.23,8947409
2021-06-11,2948.4,3102.14,2937.71,3069.15,12983729
2021-06-18,3074.02,3148.08,3048.29,3091.18,11138008
2021-06-25,3060.9,3187.13,3048.43,3169.46,11930215
2021-07-02,3179.49,3179.49,3089.21,3117.57,7699614
2021-07-09,3133.08,3163.08,3000.9,3007.6,16665684
2021-07-16,3032.77,3040.79,2976.52,3005.93,9837730
2021-07-23,2992.01,3049.92,2969.57,3022.91,8549982
2021-07-30,3010.82,3034.77,2947.22,2980.2,9324830
2021-08-06,2992.01,3127.49,2979.77,3114.13,15060206
2021-08-13,3127.4,3274.27,3114.32,3258.65,11855637
2021-08-20,3255.45,3382.47,3233.34,3349.07,12633846
2021-08-27,3368.36,3509.02,3351.33,3500.22,15119679
2021-09-03,3495.38,3631.01,3469.6,3614.92,13853438
2021-09-09,3622.11,3648.37,3533.95,3567.26,9456074
2021-09-17,3544.3,3746.36,3544.3,3601.56,16546001
2021-09-24,3583.82,3711.22,3582.74,3642.44,10244452
2021-10-01,3669.44,3673.2,3502.11,3509.68,10890183
2021-10-08,3504.6,3754.03,3488.27,3702.98,10091112
2021-10-14,3533.01,3535.37,3401.7,3404.76,29305837
2021-10-22,3397.22,3478.91,3285.55,3298.6,18267613
2021-10-29,3302.52,3327.03,3192.17,3203.29,16303705
2021-11-04,3241.19,3318.45,3217.62,3307.84,7398172
2021-11-12,3344.94,3344.94,3239.35,3324.25,9394712
2021-11-18,3326.09,3370.91,3254.06,3276.78,8052747
2021-11-26,3279.32,3314.72,3212.76,3249.58,11958415
2021-12-03,3249.86,3456.14,3211.49,3432.1,17301722
2021-12-10,3432.1,3448.65,3320.43,3428.66,8317459
2021-12-17,3441.1,3452.42,3354.51,3379.21,12347062
2021-12-24,3383.59,3492.96,3309.26,3460.81,10480214
2021-12-31,3460.9,3544.81,3444.03,3524.4,8083526
2022-01-07,3535.38,3666.57,3530.67,3632.96,11496654
2022-01-14,3750.33,3750.33,3616.98,3741.04,20237821
2022-01-21,3764.19,3811.61,3562.4,3621.34,19303301
2022-01-28,3627.48,3636.6,3424.48,3485.83,16356274
2022-02-04,3541.52,3667.63,3515.45,3603.77,11746776
2022-02-11,3581.2,3619.74,3485.79,3490.46,13198711
2022-02-18,3517.9,3640.8,3504.68,3583.94,21133154
2022-02-25,3599.14,3615.96,3203.43,3325.9,24230495
